game_id,total_incercari,cuvant_gasit,status,secventa_incercari
1,1,,FAIL,r
2,1,,FAIL,c
3,1,apicolilor,OK,apicolilor
4,1,hipoplazii,OK,hipoplazii
5,1,prohodi,OK,prohodi
6,1,cioplea,OK,cioplea
7,1,covârșitelor,OK,covârșitelor
8,1,,FAIL,p
9,1,burghierile,OK,burghierile
10,1,samavolnicii,OK,samavolnicii
11,1,cășăiește,OK,cășăiește
12,1,sisalul,OK,sisalul
13,1,cinerariile,OK,cinerariile
14,1,dezaglomerăm,OK,dezaglomerăm
15,1,tetrodă,OK,tetrodă
16,1,mânjiturii,OK,mânjiturii
17,1,desofisticării,OK,desofisticării
18,1,tăieri,OK,tăieri
19,1,gentileților,OK,gentileților
20,1,nenorocitul,OK,nenorocitul
21,1,înaintă,OK,înaintă
22,1,,FAIL,c
23,1,ascuțitunghicul,OK,ascuțitunghicul
24,1,obnubilărilor,OK,obnubilărilor
25,1,bumbăcelului,OK,bumbăcelului
26,1,postăvăriile,OK,postăvăriile
27,1,,FAIL,c
28,1,debavurase,OK,debavurase
29,1,vramițe,OK,vramițe
30,1,retori,OK,retori
31,1,epistolarelor,OK,epistolarelor
32,1,închiabureați,OK,închiabureați
33,1,laminatoarea,OK,laminatoarea
34,1,platinez,OK,platinez
35,1,țăndărelei,OK,țăndărelei
36,1,tevaturi,OK,tevaturi
37,1,fidanțata,OK,fidanțata
38,1,exondările,OK,exondările
39,1,decomandată,OK,decomandată
40,1,omagiali,OK,omagiali
41,1,stâlpisem,OK,stâlpisem
42,1,elfilor,OK,elfilor
43,1,deconcertantele,OK,deconcertantele
44,1,gagicului,OK,gagicului
45,1,apelarăm,OK,apelarăm
46,1,spermatofitelor,OK,spermatofitelor
47,1,necredincioșilor,OK,necredincioșilor
48,1,cinstețul,OK,cinstețul
49,1,neoformațiunii,OK,neoformațiunii
50,1,pegmatitul,OK,pegmatitul
51,1,plutuiește,OK,plutuiește
52,1,cintezii,OK,cintezii
53,1,folfăiesc,OK,folfăiesc
54,1,otorinolaringologelor,OK,otorinolaringologelor
55,1,estetizantei,OK,estetizantei
56,1,balaoacheșă,OK,balaoacheșă
57,1,notăriță,OK,notăriță
58,1,duleți,OK,duleți
59,1,rickettsiozei,OK,rickettsiozei
60,1,cireșe,OK,cireșe
61,1,zgărdat,OK,zgărdat
62,1,prețioaselor,OK,prețioaselor
63,1,dimprejur,OK,dimprejur
64,1,bulbucat,OK,bulbucat
65,1,arierdună,OK,arierdună
66,1,flacidei,OK,flacidei
67,1,convenționali,OK,convenționali
68,1,,FAIL,ț
69,1,neliniștitorului,OK,neliniștitorului
70,1,bihindisirile,OK,bihindisirile
71,1,împlinirea,OK,împlinirea
72,1,instigând,OK,instigând
73,1,recente,OK,recente
74,1,emblemă,OK,emblemă
75,1,singurașul,OK,singurașul
76,1,subsecretarului,OK,subsecretarului
77,1,devitalizaserăm,OK,devitalizaserăm
78,1,subapreciez,OK,subapreciez
79,1,clasatului,OK,clasatului
80,1,faraonicul,OK,faraonicul
81,1,înrolărilor,OK,înrolărilor
82,1,primeziu,OK,primeziu
83,1,cruciatului,OK,cruciatului
84,1,prodigatele,OK,prodigatele
85,1,vina,OK,vina
86,1,cifrarăm,OK,cifrarăm
87,1,înfruntasem,OK,înfruntasem
88,1,vioșeli,OK,vioșeli
89,1,amușiserăți,OK,amușiserăți
90,1,telegrafiară,OK,telegrafiară
91,1,citronadele,OK,citronadele
92,1,baschetbaliștilor,OK,baschetbaliștilor
93,1,septicul,OK,septicul
94,1,veneno,OK,veneno
95,1,gudronăm,OK,gudronăm
96,1,cordenciului,OK,cordenciului
97,1,,FAIL,t
98,1,foiletonist,OK,foiletonist
99,1,pliciseră,OK,pliciseră
100,1,achitat,OK,achitat
